2019-04-02 23:08:00.3454||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-04-02 23:08:07.0986||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-04-02 23:08:07.1794||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-04-02 23:08:07.2153||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-04-02 23:08:07.2413||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-04-02 23:08:07.2759||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-04-02 23:08:07.3223||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-04-02 23:08:07.3678||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-04-02 23:08:07.4206||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-04-02 23:08:07.4488||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-04-02 23:08:07.4716||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-04-02 23:08:07.4986||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-04-02 23:08:07.5294||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-04-02 23:08:07.5384||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 087dd8b2-1e55-4250-b08a-44043e4d4f33 |url: |action: 
2019-04-02 23:08:07.5511||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 087dd8b2-1e55-4250-b08a-44043e4d4f33 |url: |action: 
2019-04-02 23:08:07.5893||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-04-02 23:08:07.5922||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 37b4e0e8-4830-4ab5-ba33-ed3b1d56f923 |url: |action: 
2019-04-02 23:08:07.5922||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 37b4e0e8-4830-4ab5-ba33-ed3b1d56f923 |url: |action: 
2019-04-02 23:08:07.6412||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
